Killed,Killed Class,Death Type,Death Class,X,Y,Z,Grid,Killed By,Killed By Class,Year,Month,Day,Hour,Minute
CT Altred,JLTS_Clone_P2_DC15A_501,Zoose,Zeus,262.316,5813.95,0.00144196,002935,CT Altred,JLTS_Clone_P2_DC15A_501,1985,5,10,7,34
CT Mustang,JLTS_Clone_P2_DC15A_501,INF,Trooper,265.368,5833.28,0.00144196,002935,,JLTS_Clone_P2_DC15A_501,1985,5,10,7,43
,RD501_CIS_Static_AA_SR_ML,NA,,15063.9,3450.19,-0.031908,150911,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,7,48
,B_UAV_AI,NA,,15063.9,3450.19,1.76417,150911,Error: No vehicle,,1985,5,10,7,48
,RD501_CIS_Static_AA_SR_ML,NA,,15038.2,2941.83,-0.00178146,150906,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,7,49
,B_UAV_AI,NA,,15038.2,2941.83,1.77365,150906,Error: No vehicle,,1985,5,10,7,49
,RD501_arc_170_blue,NA,,12120.6,5863.24,884.182,121935,Roberts,B_UAV_AI,1985,5,10,7,49
,RD501_CIS_Static_AA_SR_ML,NA,,16788.5,4759.76,-0.0753708,167924,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,7,49
,B_UAV_AI,NA,,16788.5,4759.76,1.75658,167924,Error: No vehicle,,1985,5,10,7,49
,RD501_CIS_Static_AA_SR_ML,NA,,15203.6,2921.2,-0.0285263,152906,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,7,50
,B_UAV_AI,NA,,15203.6,2921.2,1.79317,152906,Error: No vehicle,,1985,5,10,7,50
,RD501_CIS_Static_AA_SR_ML,NA,,14794.4,3324.21,-0.0536051,147910,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,7,51
,B_UAV_AI,NA,,14794.4,3324.21,1.7667,147910,Error: No vehicle,,1985,5,10,7,51
,RD501_CIS_Static_AA_SR_ML,NA,,14321.8,3925.35,-0.000199318,143916,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,7,52
,B_UAV_AI,NA,,14321.8,3925.35,1.77979,143916,Error: No vehicle,,1985,5,10,7,52
CX-C Sazi,JLTS_Clone_P2_DC15A_501,AIR,Section Leader@Razor 1-2,12215.4,6939.71,9.20684,122946,,JLTS_Clone_P2_DC15A_501,1985,5,10,7,52
CI Exeter,JLTS_Clone_P2_DC15A_501,INF,RTO,298.811,5811.8,0.00144196,002935,,JLTS_Clone_P2_DC15A_501,1985,5,10,7,56
CS-M Black,JLTS_Clone_P2_DC15A_501,PLT,Platoon Sergeant,261.207,5825.72,0.00144196,002935,,JLTS_Clone_P2_DC15A_501,1985,5,10,7,56
,RD501_CIS_SHORAD,NA,,14333.4,4097.19,0.105873,143918,CX-X Bacon,JLTS_Clone_P2_DC15A_501,1985,5,10,8,1
,B_UAV_AI,NA,,14333.4,4097.19,2.54772,143918,Error: No vehicle,,1985,5,10,8,1
,RD501_CIS_SHORAD,NA,,16850.7,4586.98,-0.0980225,168922,CX-C Sazi,JLTS_Clone_P2_DC15A_501,1985,5,10,8,1
