,RD501_LAAT_MKIII_Balls,NA,,738.819,9643.09,3.16009,007096,Error: No unit,RD501_LAAT_MKIII_Balls,2017,7,21,9,52
,RD501_opfor_unit_B1_pilot,NA,,2970.8,5144.46,2.0659,029051,Error: No vehicle,,2017,7,21,9,55
,RD501_Vulture,NA,,2969.92,5146.45,-1.64287,029051,Error: No vehicle,,2017,7,21,9,55
,RD501_Vulture,NA,,2990.65,5148.98,-2.34319,029051,5995,RD501_opfor_unit_B1_pilot,2017,7,21,9,55
,RD501_opfor_unit_B1_pilot,NA,,2991.08,5146.79,1.98124,029051,5995,RD501_opfor_unit_B1_pilot,2017,7,21,9,55
,RD501_cis_gat_aa,NA,,2620.78,3420.89,-0.0648332,026034,'Sledge',SWLB_clone_at_base_P2,2017,7,21,9,57
,RD501_opfor_unit_B1_crew,NA,,2620.78,3420.89,0,026034,'Sledge',SWLB_clone_at_base_P2,2017,7,21,9,57
,RD501_opfor_unit_B1_crew,NA,,2620.78,3420.89,0,026034,'Sledge',SWLB_clone_at_base_P2,2017,7,21,9,57
,RD501_Vulture,NA,,1669.05,8940.24,542.813,016089,CX-C Moony,JLTS_Clone_P2_DC15A_501,2017,7,21,9,57
,RD501_opfor_unit_B1_pilot,NA,,1671.24,8940.87,548.356,016089,CX-C Moony,JLTS_Clone_P2_DC15A_501,2017,7,21,9,57
,RD501_Vulture,NA,,2555.82,9903.28,757.627,025099,Jones,B_UAV_AI,2017,7,21,9,58
,RD501_opfor_unit_B1_pilot,NA,,2556.79,9901.25,763.89,025099,Jones,B_UAV_AI,2017,7,21,9,58
,RD501_opfor_unit_B1,NA,,2141.25,3218.18,0.00176525,021032,'Cookie',SWLB_clone_base_P2,2017,7,21,9,58
,RD501_Vulture,NA,,2496.67,3964.03,231.449,024039,CX-X Mulkot,JLTS_Clone_P2_DC15A_501,2017,7,21,9,58
,RD501_opfor_unit_B1_pilot,NA,,2497.65,3962.16,232.909,024039,CX-X Mulkot,JLTS_Clone_P2_DC15A_501,2017,7,21,9,58
,RD501_Vulture,NA,,2703.86,3805.51,226.608,027038,CX-X Mulkot,JLTS_Clone_P2_DC15A_501,2017,7,21,9,58
,RD501_opfor_unit_B1_pilot,NA,,2705.19,3804.46,233.155,027038,CX-X Mulkot,JLTS_Clone_P2_DC15A_501,2017,7,21,9,58
,RD501_opfor_unit_B1,NA,,2896.44,3383.36,0.00143909,028033,'Hunter',SWLB_clone_base_P2,2017,7,21,9,58
,SWLB_clone_base_P2,NA,,3072.39,3438.74,0.00143862,030034,81784,RD501_opfor_unit_B1,2017,7,21,9,58
,SWLB_clone_assault_base_P2,NA,,3075.33,3456.37,0.00143862,030034,6365,RD501_opfor_unit_B1_heavy,2017,7,21,9,58
,SWLB_clone_assault_base_P2,NA,,2130.99,2855.86,0.062397,021028,Masood,RD501_opfor_unit_B2_droid_Super,2017,7,21,9,58
,SWLB_clone_assault_base_P2,NA,,2100.92,2893.5,-0.115864,021028,Jawadi,RD501_opfor_unit_B2_droid_Standard,2017,7,21,9,58
,RD501_Vulture,NA,,-1411.43,9999.61,108.093,985099,CX-X Saltopus,JLTS_Clone_P2_DC15A_501,2017,7,21,9,58
,RD501_opfor_unit_B1_pilot,NA,,-1411.57,9997.34,113.818,985099,CX-X Saltopus,JLTS_Clone_P2_DC15A_501,2017,7,21,9,58
,Land_LampShabby_F,NA,,4761.02,2268.99,-3.48105,047022,Error: No vehicle,,2017,7,21,9,58
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,58
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,58
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,58
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,58
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,58
,SWLB_clone_base_P2,NA,,3079.06,3453.02,0.514796,030034,81814,RD501_opfor_unit_B1,2017,7,21,9,58
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,58
,SWLB_clone_engineer_base_P2,NA,,3076.38,3444.63,0.00143909,030034,0315,RD501_opfor_unit_B1_heavy,2017,7,21,9,58
,SWLB_clone_at_base_P2,NA,,3066.45,3450.26,0.0259428,030034,0315,RD501_opfor_unit_B1_heavy,2017,7,21,9,58
,SWLB_clone_assault_base_P2,NA,,3056.41,3459.37,0.00143909,030034,30923,RD501_opfor_unit_B1,2017,7,21,9,58
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,59
,JLTS_Clone_P2_corporal_501,NA,,7822.6,1615.56,0.0100615,078016,YBO1,RD501_opfor_unit_BX,2017,7,21,9,59
,JLTS_Clone_P2_marksman_501,NA,,7870.73,1693.06,-0.00125551,078016,00719,RD501_opfor_unit_B1_prototype,2017,7,21,9,59
,JLTS_Clone_P2_marksman_501,NA,,7828.44,1620.08,0.0303056,078016,34897,RD501_opfor_unit_BX,2017,7,21,9,59
,Land_LampShabby_F,NA,,6787.81,1046.94,-3.54441,067010,Roberts,B_UAV_AI,2017,7,21,9,59
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,59
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,59
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,59
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,59
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,59
,JLTS_Clone_P2_DC15A_501,NA,,7903.73,1691.46,0.00143886,079016,00719,RD501_opfor_unit_B1_prototype,2017,7,21,9,59
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,9,59
,JLTS_Clone_P2_medic_501,NA,,7875.96,1667.65,0.0259945,078016,08064,RD501_opfor_unit_B1_prototype,2017,7,21,9,59
,SWLB_clone_sg_base_P2,NA,,3103.72,3454.15,0.00143862,031034,55324,RD501_opfor_unit_B1,2017,7,21,9,59
,JLTS_Clone_P2_at_501,NA,,7921.03,1651.36,0.00143886,079016,08064,RD501_opfor_unit_B1_prototype,2017,7,21,9,59
,SWLB_clone_medic_base_P2,NA,,3077.02,3443.51,0.00143909,030034,Hakimi,RD501_opfor_unit_B2_droid_Standard,2017,7,21,9,59
,RD501_arc_170_razor,NA,,1664.82,3333.93,277.843,016033,Johnson,B_UAV_AI,2017,7,21,9,59
,SWLB_clone_sg_base_P2,NA,,3094.24,3458.54,0.00143862,030034,5995,RD501_opfor_unit_B1_AT_heavy,2017,7,21,9,59
CX-X Mulkot,JLTS_Clone_P2_DC15A_501,AIR,Razor 3-1 (D),1598.87,2848.54,338.709,015028,,JLTS_Clone_P2_DC15A_501,2017,7,21,9,59
,JLTS_Clone_P2_marksman_501,NA,,7948.39,1649.8,0.00143886,079016,CT - 5135,JLTS_Clone_P2_marksman_501,2017,7,21,9,59
,RD501_opfor_unit_BX,NA,,7767.49,1708.04,0.00143886,077017,CT - 1474,JLTS_Clone_P2_DC15A_501,2017,7,21,9,59
,RD501_opfor_unit_B1_prototype,NA,,7747.39,1709.72,0.00143886,077017,CT - 1474,JLTS_Clone_P2_DC15A_501,2017,7,21,9,59
,SWLB_clone_base_P2,NA,,2105.29,2968.56,0.00184631,021029,7000,RD501_opfor_unit_B1_heavy,2017,7,21,9,59
,RD501_LAAT_MKIII_Balls,NA,,283.024,8192.84,320.565,002081,1661,RD501_Vulture,2017,7,21,9,59
,SWLB_clone_base_P2,NA,,2109.62,2953.97,0.00169754,021029,67386,RD501_opfor_unit_B1,2017,7,21,9,59
,SWLB_clone_at_base_P2,NA,,3032.9,3321.63,0.00669575,030033,Masood,RD501_opfor_unit_B2_droid_Super,2017,7,21,9,59
,RD501_opfor_unit_B1_prototype,NA,,7742.81,1720.91,0.00143886,077017,CT - 1474,JLTS_Clone_P2_DC15A_501,2017,7,21,10,0
,RD501_opfor_unit_B1_prototype,NA,,7750.93,1700,0.00143886,077016,CT - 1474,JLTS_Clone_P2_DC15A_501,2017,7,21,10,0
,SWLB_clone_sg_base_P2,NA,,2103.22,2880.13,0.000648499,021028,7000,RD501_opfor_unit_B1_heavy,2017,7,21,10,0
,SWLB_clone_engineer_base_P2,NA,,2135.85,2911.6,0.00418854,021029,28650,RD501_opfor_unit_B1,2017,7,21,10,0
,JLTS_Clone_P2_DC15A_501,NA,,7885.18,1660.2,0.00143909,078016,YBO1,RD501_opfor_unit_BX,2017,7,21,10,0
,SWLB_clone_assault_base_P2,NA,,2994.3,3330.87,0.00143909,029033,2347,RD501_opfor_unit_B1_heavy,2017,7,21,10,0
,SWLB_clone_engineer_base_P2,NA,,2998.79,3319.3,0.639487,029033,22702,RD501_opfor_unit_B1,2017,7,21,10,0
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,0
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,0
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,0
,SWLB_clone_assault_base_P2,NA,,3019.62,3308,0.00143909,030033,Shah,RD501_opfor_unit_B2_droid_Super,2017,7,21,10,0
